iter	RMSE
0	29.7995877
1	29.73775337
2	29.55664773
3	29.39713261
4	29.28157076
5	29.12924839
6	28.97569998
7	28.81443994
8	28.6636189
9	28.48115197
10	28.32976309
11	28.13464057
12	27.97374604
13	27.79519203
14	27.66314419
15	27.52396052
16	27.36015159
17	27.20579305
18	27.12738918
19	26.97773934
20	26.84704744
21	26.67782267
22	26.63542312
23	26.43862378
24	26.32349651
25	26.20006419
26	26.11844842
27	26.01862448
28	25.8578499
29	25.71866859
30	25.57422222
31	25.4410222
32	25.29130283
33	25.16887897
34	25.04802451
35	24.93879915
36	24.83917854
37	24.75061697
38	24.63010407
39	24.49946442
40	24.39822958
41	24.23891943
42	24.05613773
43	23.9031368
44	23.77758031
45	23.6622909
46	23.56961024
47	23.40755858
48	23.30774617
49	23.23933679
50	23.08961548
51	22.97453551
52	22.88669086
53	22.74950472
54	22.66292265
55	22.55987636
56	22.43050993
57	22.30030301
58	22.21355168
59	22.05068203
60	21.90486649
61	21.76468322
62	21.63192906
63	21.52441877
64	21.42792715
65	21.29775779
66	21.23790159
67	21.1869678
68	21.13391163
69	21.03747774
70	20.95176259
71	20.82763598
72	20.76321455
73	20.67985768
74	20.60612345
75	20.49289765
76	20.43696586
77	20.38371226
78	20.31495104
79	20.24013175
80	20.13027325
81	20.02693856
82	19.95956513
83	19.8834568
84	19.75922061
85	19.66330863
86	19.60263772
87	19.45861865
88	19.34225318
89	19.22667624
90	19.19423412
91	19.03619036
92	18.89088513
93	18.82414782
94	18.73020249
95	18.64308464
96	18.57321241
97	18.49144999
98	18.43141029
99	18.32707881
100	18.22405138
101	18.12084029
102	18.02672587
103	17.94201503
104	17.84091556
105	17.72483095
106	17.61855158
107	17.51986003
108	17.47609715
109	17.34672386
110	17.29343286
111	17.15061621
112	17.10940579
113	17.06946204
114	16.97143071
115	16.93502674
116	16.88025214
117	16.83127555
118	16.76236028
119	16.67891997
120	16.58864442
121	16.49119161
122	16.43558156
123	16.35660432
124	16.32074266
125	16.234708
126	16.15014058
127	16.08453437
128	15.9994271
129	15.91789204
130	15.83900686
131	15.78640096
132	15.70761644
133	15.65073751
134	15.60154642
135	15.51388208
136	15.44163271
137	15.34937404
138	15.27052848
139	15.19300349
140	15.15443203
141	15.06668063
142	14.98626673
143	14.90355217
144	14.85099851
145	14.80336977
146	14.71411887
147	14.66142231
148	14.59652375
149	14.51275684
150	14.46228665
151	14.42680808
152	14.3956382
153	14.28962562
154	14.23772829
155	14.16609434
156	14.08759148
157	13.99881506
158	13.94543788
159	13.84328159
160	13.78794198
161	13.71784731
162	13.64473001
163	13.60711783
164	13.53734581
165	13.43949112
166	13.37288713
167	13.29044525
168	13.21321229
169	13.13874819
170	13.06822025
171	13.00731952
172	12.94488577
173	12.91426553
174	12.84199732
175	12.79944683
176	12.73829124
177	12.68273145
178	12.62336011
179	12.54337066
180	12.51456255
181	12.46609783
182	12.40299399
183	12.34569927
184	12.31198755
185	12.26999464
186	12.21636494
187	12.12682481
188	12.06600046
189	11.99691206
190	11.93703859
191	11.90652679
192	11.84584899
193	11.77908547
194	11.71130373
195	11.66363634
196	11.60669693
197	11.54997924
198	11.49315119
199	11.43130211
200	11.38854519
201	11.3572222
202	11.33311641
203	11.30494824
204	11.20963167
205	11.12778563
206	11.08889054
207	11.03313001
208	11.00890797
209	10.95269222
210	10.91861699
211	10.88192488
212	10.83971848
213	10.81385496
214	10.7524198
215	10.70657047
216	10.67037271
217	10.62252848
218	10.57102361
219	10.53361511
220	10.4790676
221	10.44491287
222	10.3854964
223	10.32031101
224	10.25745288
225	10.20229307
226	10.15072092
227	10.08613339
228	10.03388295
229	9.998515079
230	9.944333038
231	9.891111555
232	9.856222984
233	9.832689315
234	9.786524996
235	9.756622919
236	9.716872786
237	9.674059789
238	9.646427925
239	9.606240609
240	9.585366618
241	9.548672133
242	9.527131059
243	9.467482398
244	9.428916306
245	9.37967508
246	9.359618984
247	9.307981205
248	9.252295819
249	9.214835262
250	9.147317231
251	9.131383831
252	9.070387763
253	9.025744754
254	8.963195107
255	8.935242459
256	8.895389496
257	8.865133314
258	8.836506223
259	8.788923363
260	8.749144105
261	8.714926904
262	8.665573847
263	8.605955456
264	8.560886569
265	8.529037404
266	8.478741141
267	8.443131519
268	8.408733623
269	8.388297217
270	8.367415116
271	8.351361483
272	8.306631169
273	8.257438633
274	8.202843652
275	8.180927049
276	8.12921077
277	8.078827918
278	8.046497599
279	8.004241659
280	7.962429539
281	7.937144364
282	7.890336424
283	7.857854031
284	7.827163214
285	7.782141493
286	7.741219854
287	7.721392741
288	7.684215202
289	7.67065677
290	7.637928776
291	7.592818786
292	7.57419344
293	7.55698412
294	7.509283578
295	7.477653207
296	7.444047548
297	7.412720428
298	7.374681577
299	7.32931438
300	7.310603186
301	7.274904522
302	7.242089192
303	7.20412026
304	7.16057434
305	7.130018098
306	7.092850481
307	7.08111656
308	7.069546197
309	7.038640428
310	7.0108614
311	6.990223579
312	6.963640738
313	6.931209492
314	6.913035612
315	6.878334356
316	6.854582955
317	6.842580047
318	6.816997051
319	6.786412029
320	6.76397631
321	6.72359157
322	6.696932778
323	6.6761182
324	6.670273881
325	6.639828467
326	6.608123845
327	6.580059145
328	6.559185225
329	6.514465007
330	6.486409353
331	6.447958367
332	6.432968176
333	6.416746185
334	6.411696952
335	6.397503155
336	6.378323586
337	6.355260079
338	6.318402766
339	6.289180838
340	6.265034461
341	6.233986055
342	6.210543064
343	6.197277768
344	6.177150546
345	6.147493656
346	6.123887114
347	6.096084096
348	6.087521778
