iter	Passed	Remaining
0	8	850
1	16	794
2	24	787
3	32	773
4	43	823
5	54	853
6	62	825
7	66	764
8	74	749
9	78	706
10	88	720
11	96	710
12	104	699
13	112	691
14	120	681
15	128	674
16	134	655
17	135	615
18	139	593
19	149	596
20	157	592
21	165	585
22	173	580
23	180	572
24	188	566
25	196	558
26	197	533
27	204	526
28	212	520
29	220	514
30	221	492
31	229	487
32	237	481
33	244	475
34	252	468
35	260	462
36	268	456
37	276	451
38	279	436
39	286	430
40	296	427
41	308	425
42	316	418
43	324	412
44	331	405
45	339	398
46	347	391
47	351	381
48	359	374
49	367	367
50	374	360
51	389	359
52	398	353
53	405	345
54	415	339
55	422	332
56	430	324
57	438	317
58	450	312
59	455	303
60	463	296
61	471	288
62	472	277
63	480	270
64	488	262
65	495	255
66	503	248
67	511	240
68	519	233
69	521	223
70	529	216
71	538	209
72	547	202
73	555	195
74	564	188
75	568	179
76	572	171
77	580	163
78	584	155
79	593	148
80	601	140
81	608	133
82	613	125
83	621	118
84	629	111
85	636	103
86	644	96
87	649	88
88	656	81
89	664	73
90	672	66
91	681	59
92	689	51
93	697	44
94	702	36
95	709	29
96	717	22
97	725	14
98	729	7
99	737	0
