iter	RMSE
0	29.733522
1	29.54278165
2	29.36616897
3	29.13836387
4	29.01951476
5	28.87476969
6	28.68854925
7	28.55477478
8	28.45006178
9	28.18298746
10	28.00528719
11	27.83449758
12	27.75360495
13	27.59807852
14	27.39074075
15	27.20654514
16	27.06658039
17	26.82382419
18	26.6401008
19	26.42172645
20	26.28930425
21	26.17370996
22	26.03429751
23	25.88679031
24	25.73751814
25	25.59230141
26	25.49678139
27	25.35246799
28	25.26028413
29	25.1400384
30	24.96080179
31	24.83585637
32	24.73645114
33	24.56460276
34	24.44874884
35	24.34921259
36	24.21520717
37	24.1501766
38	24.04071029
39	23.92194236
40	23.82225031
41	23.65580024
42	23.48049003
43	23.4354525
44	23.33216932
45	23.2456683
46	23.14091367
47	23.00637609
48	22.89031906
49	22.75962798
50	22.65658536
51	22.5108256
52	22.40264901
53	22.28782867
54	22.18611287
55	22.0679415
56	21.94322438
57	21.8521037
58	21.73205804
59	21.57214098
60	21.48278635
61	21.31117829
62	21.27138536
63	21.15602261
64	21.02232373
65	20.95863963
66	20.84904769
67	20.74948363
68	20.65200247
69	20.53618036
70	20.42016675
71	20.31021371
72	20.26099579
73	20.14344989
74	20.07856119
75	19.98592813
76	19.90067955
77	19.80719646
78	19.74398341
79	19.68124723
80	19.58882197
81	19.50472219
82	19.42216389
83	19.32367954
84	19.17994389
85	19.07952129
86	18.96543493
87	18.8380429
88	18.80424789
89	18.69089839
90	18.61815342
91	18.5639805
92	18.48579249
93	18.40930614
94	18.3005947
95	18.20082652
96	18.11276285
97	18.11233998
98	18.01194901
99	17.89591996
100	17.81339028
101	17.71358668
102	17.60364911
103	17.53090381
104	17.46919195
105	17.37480851
106	17.2991444
107	17.18287348
108	17.10297678
109	17.00080251
110	16.9519313
111	16.86657099
112	16.79693842
113	16.73534525
114	16.70079139
115	16.62677769
116	16.57986761
117	16.53942288
118	16.47163623
119	16.34703561
120	16.26002964
121	16.24259273
122	16.16492307
123	16.09302595
124	16.01540727
125	15.94790906
126	15.87505799
127	15.83220991
128	15.77418894
129	15.72132754
130	15.68066995
131	15.62645138
132	15.56173578
133	15.46784413
134	15.40684789
135	15.35303902
136	15.30609217
137	15.2372124
138	15.18786308
139	15.09977584
140	15.04087943
141	14.9984453
142	14.95896271
143	14.87466325
144	14.78719091
145	14.70423676
146	14.66185685
147	14.60343336
148	14.52742755
149	14.45743321
150	14.40849202
151	14.3574002
152	14.27529367
153	14.18936626
154	14.0998752
155	14.03431553
156	13.94988003
157	13.88004737
158	13.83326826
159	13.74001835
160	13.68073422
161	13.60764243
162	13.53321503
163	13.48097877
164	13.43631328
165	13.36596338
166	13.31612008
167	13.27167833
168	13.21441384
169	13.17608062
170	13.1058708
171	13.04304951
172	12.99395691
173	12.9398103
174	12.86606953
175	12.80387456
176	12.7503711
177	12.68770417
178	12.62540812
179	12.57866807
180	12.50688465
181	12.46641717
182	12.41043541
183	12.33724112
184	12.26626388
185	12.20425092
186	12.14603715
187	12.0765915
188	12.04060294
189	11.98886594
190	11.94455655
191	11.89680241
192	11.85151381
193	11.82109241
194	11.77596059
195	11.75028675
196	11.69444985
197	11.64057263
198	11.59904649
199	11.5134639
200	11.49138901
201	11.45666932
202	11.39821976
203	11.34560099
204	11.29359711
205	11.21414862
206	11.15810178
207	11.11612979
208	11.06824113
209	11.01817009
210	10.98997364
211	10.94692243
212	10.89970248
213	10.87535685
214	10.81337786
215	10.75420004
216	10.73035015
217	10.68845748
218	10.66644472
219	10.64024013
220	10.56019348
221	10.5107004
222	10.44616819
223	10.39215058
224	10.38410536
225	10.34293777
226	10.31302136
227	10.28609535
228	10.24681299
229	10.18958839
230	10.1495481
231	10.11038812
232	10.06961544
233	10.01167371
234	9.942994934
235	9.883653967
236	9.864115506
237	9.838701287
238	9.780161117
239	9.750251376
240	9.728593937
241	9.684759955
242	9.637113098
243	9.606514468
244	9.575596313
245	9.52110886
