iter	Passed	Remaining
0	288	288279
1	294	146846
2	296	98387
3	298	74269
4	411	81867
5	413	68473
6	415	58874
7	416	51668
8	418	46100
9	424	42070
10	426	38389
11	428	35297
12	430	32676
13	432	30443
14	439	28892
15	441	27171
16	443	25664
17	516	28177
18	721	37275
19	725	35530
20	732	34140
21	734	32646
22	736	31282
23	738	30036
24	740	28884
25	748	28023
26	750	27034
27	752	26120
28	754	25273
29	763	24673
30	893	27936
31	895	27100
32	897	26304
33	900	25588
34	908	25037
35	910	24373
36	912	23742
37	914	23145
38	921	22713
39	924	22179
40	926	21670
41	929	21203
42	1022	22764
43	1024	22259
44	1026	21791
45	1028	21339
46	1055	21407
47	1057	20979
48	1059	20565
49	1062	20184
50	1070	19914
51	1072	19545
52	1074	19203
53	1076	18862
54	1089	18725
55	1092	18416
56	1099	18194
57	1102	17898
58	1104	17615
59	1106	17335
60	1108	17070
61	1111	16815
62	1115	16590
63	1118	16352
64	1135	16340
65	1138	16104
66	1140	15879
67	1142	15662
68	1145	15449
69	1151	15298
70	1153	15092
71	1155	14894
72	1157	14703
73	1160	14515
74	1167	14403
75	1170	14227
76	1187	14230
77	1190	14077
78	1196	13952
79	1199	13791
80	1204	13669
81	1206	13511
82	1214	13418
83	1217	13278
84	1219	13130
85	1221	12985
86	1239	13008
87	1247	12929
88	1248	12781
89	1250	12645
90	1252	12514
91	1255	12386
92	1262	12313
93	1266	12206
94	1268	12085
95	1270	11965
96	1279	11909
97	1281	11797
98	1284	11689
99	1290	11618
100	1292	11504
101	1294	11397
102	1295	11286
103	1297	11176
104	1298	11069
105	1300	10964
106	1306	10907
107	1308	10808
108	1310	10708
109	1311	10610
110	1312	10513
111	1314	10418
112	1315	10325
113	1319	10252
114	1321	10169
115	1323	10084
116	1327	10019
117	1333	9968
118	1335	9883
119	1336	9800
120	1337	9718
121	1340	9643
122	1349	9619
123	1351	9546
124	1352	9468
125	1354	9395
126	1357	9332
127	1363	9287
128	1364	9215
129	1366	9143
130	1367	9071
131	1369	9007
132	1371	8943
133	1379	8913
134	1381	8851
135	1385	8799
136	1387	8742
137	1394	8713
138	1396	8650
139	1399	8596
140	1401	8539
141	1403	8482
142	1411	8461
143	1413	8405
144	1415	8349
145	1426	8343
146	1428	8290
147	1433	8249
148	1435	8198
149	1437	8147
150	1439	8092
151	1441	8042
152	1443	7988
153	1444	7935
154	1450	7907
155	1451	7855
156	1453	7803
157	1454	7753
158	1456	7702
159	1457	7653
160	1459	7603
161	1465	7578
162	1466	7530
163	1467	7482
164	1469	7438
165	1471	7391
166	1472	7344
167	1473	7298
168	1479	7274
169	1480	7229
170	1482	7186
171	1483	7143
172	1485	7099
173	1486	7055
174	1487	7012
175	1488	6969
176	1494	6948
177	1496	6912
178	1498	6872
179	1501	6840
180	1507	6819
181	1508	6779
182	1509	6739
183	1510	6700
184	1512	6661
185	1513	6624
186	1514	6585
187	1516	6547
188	1520	6525
189	1522	6491
190	1524	6455
191	1525	6419
192	1527	6385
193	1528	6350
194	1529	6315
195	1531	6281
196	1536	6264
197	1538	6232
198	1542	6207
199	1543	6174
200	1544	6140
201	1546	6107
202	1551	6091
203	1552	6059
204	1554	6027
205	1556	6000
206	1557	5968
207	1559	5936
208	1560	5904
209	1561	5873
210	1567	5859
211	1568	5828
212	1569	5800
213	1571	5770
214	1572	5740
215	1573	5710
216	1574	5681
217	1575	5652
218	1579	5633
219	1581	5607
220	1583	5582
221	1585	5557
222	1587	5532
223	1589	5506
224	1607	5537
225	1613	5525
226	1614	5498
227	1616	5472
228	1617	5445
229	1618	5419
230	1620	5393
231	1621	5367
232	1622	5341
233	1628	5331
234	1630	5306
235	1631	5281
236	1633	5257
237	1634	5233
238	1635	5208
239	1637	5184
240	1642	5174
241	1644	5150
242	1645	5126
243	1648	5106
244	1649	5083
245	1650	5059
246	1652	5036
247	1657	5025
